80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:212 F:55
								849187 18          CLC                    A:001E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 66 F:55
								849188 65 04       ADC $04       [000004] A:001E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 69 F:55
								84918A 85 06       STA $06       [000006] A:013E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 76 F:55
								84918C A5 00       LDA $00       [000000] A:013E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 83 F:55
								84918E EB          XBA                    A:1DF0 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 90 F:55
								84918F 29 1F 00    AND #$001F             A:F01D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 94 F:55
								849192 85 04       STA $04       [000004] A:001D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 99 F:55
								849194 A5 02       LDA $02       [000002] A:001D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:106 F:55
								849196 29 00 1F    AND #$1F00             A:039E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:113 F:55
								849199 4A          LSR A                  A:0300 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:117 F:55
								84919A 4A          LSR A                  A:0180 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:120 F:55
								84919B 4A          LSR A                  A:00C0 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:123 F:55
								84919C 18          CLC                    A:0060 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:126 F:55
								84919D 65 04       ADC $04       [000004] A:0060 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:129 F:55
								84919F A8          TAY                    A:007D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:146 F:55
								8491A0 B7 10       LDA [$10],Y   [7EE87D] A:007D X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:250 H:149 F:55
								8491A2 29 FF 00    AND #$00FF             A:0024 X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:250 H:162 F:55
								8491A5 A8          TAY                    A:0024 X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:250 H:167 F:55
								8491A6 EB          XBA                    A:0024 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:170 F:55
								8491A7 0A          ASL A                  A:2400 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdiZc V:250 H:174 F:55
								8491A8 18          CLC                    A:4800 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:177 F:55
								8491A9 65 06       ADC $06       [000006] A:4800 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:180 F:55
								8491AB AA          TAX                    A:493E X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:187 F:55
								8491AC 60          RTS                    A:493E X:493E Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:190 F:55

							8490F9 BF 00 20 7E LDA $7E2000,X [7E693E] A:493E X:493E Y:0024 S:011B D:0000 DB:86 nvmxdizc V:250 H:200 F:55
							8490FD A8          TAY                    A:0055 X:493E Y:0024 S:011B D:0000 DB:86 nvmxdizc V:250 H:210 F:55
							8490FE AD 92 0B    LDA $0B92     [860B92] A:0055 X:493E Y:0055 S:011B D:0000 DB:86 nvmxdizc V:250 H:213 F:55
							849101 85 10       STA $10       [000010] A:EB15 X:493E Y:0055 S:011B D:0000 DB:86 Nvmxdizc V:250 H:222 F:55
							849103 AD 94 0B    LDA $0B94     [860B94] A:EB15 X:493E Y:0055 S:011B D:0000 DB:86 Nvmxdizc V:250 H:229 F:55
							849106 85 12       STA $12       [000012] A:F895 X:493E Y:0055 S:011B D:0000 DB:86 Nvmxdizc V:250 H:237 F:55
							849108 B7 10       LDA [$10],Y   [95EB6A] A:F895 X:493E Y:0055 S:011B D:0000 DB:86 Nvmxdizc V:250 H:244 F:55
							84910A 29 FF 00    AND #$00FF             A:3B3B X:493E Y:0055 S:011B D:0000 DB:86 nvmxdizc V:250 H:256 F:55
							84910D 28          PLP                    A:003B X:493E Y:0055 S:011B D:0000 DB:86 nvmxdizc V:250 H:261 F:55
							84910E FA          PLX                    A:003B X:493E Y:0055 S:011C D:0000 DB:86 NvMxdizc V:250 H:267 F:55
							84910F 2B          PLD                    A:003B X:0E68 Y:0055 S:011E D:0000 DB:86 nvMxdizc V:250 H:276 F:55
							849110 60          RTS                    A:003B X:0E68 Y:0055 S:0120 D:0000 DB:86 nvMxdiZc V:250 H:284 F:55

						849318 B4 05       LDY $05,X     [000E6D] A:003B X:0E68 Y:0055 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:294 F:55
						84931A 84 10       STY $10       [000010] A:003B X:0E68 Y:1DC0 S:0122 D:0000 DB:86 nvMxdizc V:250 H:303 F:55
						84931C B4 08       LDY $08,X     [000E70] A:003B X:0E68 Y:1DC0 S:0122 D:0000 DB:86 nvMxdizc V:250 H:310 F:55
						84931E 84 12       STY $12       [000012] A:003B X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:250 H:318 F:55
						849320 95 2D       STA $2D,X     [000E95] A:003B X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:250 H:325 F:55
						849322 86 2C       STX $2C       [00002C] A:003B X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:250 H:331 F:55
						849324 29 3F       AND #$3F               A:003B X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:250 H:338 F:55
						849326 0A          ASL A                  A:003B X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:251 H:  1 F:55
						849327 EB          XBA                    A:0076 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:251 H:  4 F:55
						849328 A9 00       LDA #$00               A:7600 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:251 H:  8 F:55
						84932A EB          XBA                    A:7600 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:251 H: 11 F:55
						84932B AA          TAX                    A:0076 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizc V:251 H: 16 F:55
