80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:247 H:163 F:14
				84917C A5 00       LDA $00       [000000] A:0140 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:232 F:14
				84917E 29 FF 00    AND #$00FF             A:0761 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:239 F:14
				849181 4A          LSR A                  A:0061 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:243 F:14
				849182 4A          LSR A                  A:0030 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizC V:249 H:246 F:14
				849183 4A          LSR A                  A:0018 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:249 F:14
				849184 29 FE FF    AND #$FFFE             A:000C X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:252 F:14
				849187 18          CLC                    A:000C X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:257 F:14
				849188 65 04       ADC $04       [000004] A:000C X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:260 F:14
				84918A 85 06       STA $06       [000006] A:014C X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:267 F:14
				84918C A5 00       LDA $00       [000000] A:014C X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:274 F:14
				84918E EB          XBA                    A:0761 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:281 F:14
				84918F 29 1F 00    AND #$001F             A:6107 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:285 F:14
				849192 85 04       STA $04       [000004] A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:290 F:14
				849194 A5 02       LDA $02       [000002] A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:297 F:14
				849196 29 00 1F    AND #$1F00             A:00AA X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:304 F:14
				849199 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:308 F:14
				84919A 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:311 F:14
				84919B 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:314 F:14
				84919C 18          CLC                    A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:317 F:14
				84919D 65 04       ADC $04       [000004] A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:320 F:14
				84919F A8          TAY                    A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:327 F:14
				8491A0 B7 10       LDA [$10],Y   [7EE807] A:0007 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:249 H:329 F:14
				8491A2 29 FF 00    AND #$00FF             A:0003 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:250 H:  2 F:14
				8491A5 A8          TAY                    A:0003 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:250 H:  7 F:14
				8491A6 EB          XBA                    A:0003 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 10 F:14
				8491A7 0A          ASL A                  A:0300 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdiZc V:250 H: 14 F:14
				8491A8 18          CLC                    A:0600 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 17 F:14
				8491A9 65 06       ADC $06       [000006] A:0600 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 20 F:14
				8491AB AA          TAX                    A:074C X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 27 F:14
				8491AC 60          RTS                    A:074C X:074C Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 30 F:14

				8490F9 BF 00 20 7E LDA $7E2000,X [7E274C] A:074C X:074C Y:0003 S:011B D:0000 DB:86 nvmxdizc V:250 H: 40 F:14
				8490FD A8          TAY                    A:027D X:074C Y:0003 S:011B D:0000 DB:86 nvmxdizc V:250 H: 50 F:14
				8490FE AD 92 0B    LDA $0B92     [860B92] A:027D X:074C Y:027D S:011B D:0000 DB:86 nvmxdizc V:250 H: 53 F:14
				849101 85 10       STA $10       [000010] A:F0A5 X:074C Y:027D S:011B D:0000 DB:86 Nvmxdizc V:250 H: 62 F:14
				849103 AD 94 0B    LDA $0B94     [860B94] A:F0A5 X:074C Y:027D S:011B D:0000 DB:86 Nvmxdizc V:250 H: 69 F:14
				849106 85 12       STA $12       [000012] A:6895 X:074C Y:027D S:011B D:0000 DB:86 nvmxdizc V:250 H: 77 F:14
				849108 B7 10       LDA [$10],Y   [95F322] A:6895 X:074C Y:027D S:011B D:0000 DB:86 nvmxdizc V:250 H: 84 F:14
				84910A 29 FF 00    AND #$00FF             A:0000 X:074C Y:027D S:011B D:0000 DB:86 nvmxdiZc V:250 H: 96 F:14
				84910D 28          PLP                    A:0000 X:074C Y:027D S:011B D:0000 DB:86 nvmxdiZc V:250 H:101 F:14
				84910E FA          PLX                    A:0000 X:074C Y:027D S:011C D:0000 DB:86 nvMxdizc V:250 H:107 F:14
				84910F 2B          PLD                    A:0000 X:0E68 Y:027D S:011E D:0000 DB:86 nvMxdizc V:250 H:116 F:14
				849110 60          RTS                    A:0000 X:0E68 Y:027D S:0120 D:0000 DB:86 nvMxdiZc V:250 H:124 F:14

				849318 B4 05       LDY $05,X     [000E6D] A:0000 X:0E68 Y:027D S:0122 D:0000 DB:86 nvMxdiZc V:250 H:144 F:14
				84931A 84 10       STY $10       [000010] A:0000 X:0E68 Y:076D S:0122 D:0000 DB:86 nvMxdizc V:250 H:153 F:14
				84931C B4 08       LDY $08,X     [000E70] A:0000 X:0E68 Y:076D S:0122 D:0000 DB:86 nvMxdizc V:250 H:160 F:14
				84931E 84 12       STY $12       [000012] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:168 F:14
				849320 95 2D       STA $2D,X     [000E95] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:175 F:14
				849322 86 2C       STX $2C       [00002C] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:182 F:14
				849324 29 3F       AND #$3F               A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:189 F:14
				849326 0A          ASL A                  A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:192 F:14
				849327 EB          XBA                    A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:195 F:14
				849328 A9 00       LDA #$00               A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:199 F:14
				84932A EB          XBA                    A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:202 F:14
				84932B AA          TAX                    A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:207 F:14
				84932C FC 5D 93    JSR ($935D,X) [84935D] A:0000 X:0000 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:210 F:14

				84977A A9 00       LDA #$00               A:0000 X:0000 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:250 H:223 F:14
				84977C 60          RTS                    A:0000 X:0000 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:250 H:226 F:14

				84932F 08          PHP                    A:0000 X:0000 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:236 F:14
				849330 A6 2C       LDX $2C       [00002C] A:0000 X:0000 Y:00A8 S:0121 D:0000 DB:86 nvMxdiZc V:250 H:241 F:14
				849332 A9 01       LDA #$01               A:0000 X:0E68 Y:00A8 S:0121 D:0000 DB:86 nvMxdizc V:250 H:248 F:14
				849334 34 29       BIT $29,X     [000E91] A:0001 X:0E68 Y:00A8 S:0121 D:0000 DB:86 nvMxdizc V:250 H:251 F:14
				849336 10 02       BPL $0002     [84933A] A:0001 X:0E68 Y:00A8 S:0121 D:0000 DB:86 NVMxdiZc V:250 H:257 F:14
				849338 A9 02       LDA #$02               A:0001 X:0E68 Y:00A8 S:0121 D:0000 DB:86 NVMxdiZc V:250 H:260 F:14
				84933A 28          PLP                    A:0002 X:0E68 Y:00A8 S:0121 D:0000 DB:86 nVMxdizc V:250 H:263 F:14
				84933B F0 0C       BEQ $000C     [849349] A:0002 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:270 F:14
				849349 49 FF       EOR #$FF               A:0002 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:274 F:14
				84934B 35 2B       AND $2B,X     [000E93] A:00FD X:0E68 Y:00A8 S:0122 D:0000 DB:86 NvMxdizc V:250 H:277 F:14
				84934D 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:284 F:14
				84934F 20 08 93    JSR $9308     [849308] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:290 F:14

